place_id,reviewTags,count
183,lake,1
183,nature,1
183,peaceful,1
183,picnic,1
183,sunset,1
183,tourist,1
184,beautiful,1
184,bhima,1
184,deity,1
184,demon,1
184,ghatotkacha,1
184,hadimba temple,1
184,hidimbi,1
184,history,1
184,horns,1
184,worship,1
185,church,1
185,fare,1
185,mall,1
185,monkeys,1
185,ridge,1
185,rope way,1
185,statue,1
185,taxes,1
185,trek,1
185,waiting area,1
186,1945,1
186,1947,1
186,botanical garden,1
186,colonial architecture,1
186,history of india,1
186,indian independence movement,1
186,lawns,1
186,limestone,1
186,president,1
186,residence,1
187,0,10
188,0,6
188,beautiful,1
188,nature,1
188,peaceful,1
188,snow,1
189,adventure games,1
189,apples,1
189,garden,1
189,horse riding,1
189,season,1
189,snow,1
189,telescope,1
189,waste,1
189,yak,1
189,zip line,1
190,0,6
190,bridge,1
190,climb,1
190,historic,1
190,stairs,1
191,architecture,1
191,art work,1
191,beautiful,1
191,heritage,1
191,hills,1
191,idols,1
191,marble,1
191,nature,1
191,statues,1
191,valley,1
192,0,5
192,eye,1
192,historical,1
192,peaceful,1
192,place of worship,1
192,sacred,1
193,beautiful,1
193,car,1
193,divine,1
193,environment,1
193,height,1
193,peaceful,1
193,sunset,1
193,the hill,1
193,trees,1
193,walking,1
194,air force,1
194,camera,1
194,cantonment,1
194,hanuman,1
194,mobile,1
194,monkeys,1
194,parking,1
194,temple,1
194,vehicle,1
194,watch,1
195,beautiful,1
195,cafe,1
195,comfortable,1
195,experience,1
195,homestay,1
195,hospitality,1
195,monastery,1
195,snow leopard,1
195,travel,1
195,village,1
196,0,10
197,cafe,1
197,falls,1
197,gem,1
197,hike,1
197,maggi,1
197,peaceful,1
197,picnic,1
197,snacks,1
197,sound,1
197,trek,1
198,adventure,1
198,beautiful,1
198,feel,1
198,height,1
198,lord shiva,1
198,peaceful,1
198,range,1
198,snow,1
198,trek,1
198,weather,1
199,altitude,1
199,ancient,1
199,architecture,1
199,beautiful,1
199,lockers,1
199,mother goddess,1
199,shakti peethas,1
199,snow,1
199,tourism,1
199,wood carvings,1
200,0,10
201,ancient,1
201,arjuna,1
201,beautiful,1
201,blessed,1
201,langar,1
201,lord shiva,1
201,rock,1
201,stream,1
201,tourist,1
201,waterfall,1
202,ATV,1
202,beautiful,1
202,experience,1
202,january,1
202,paragliding,1
